Chainage,Distance(m),UTM_X,UTM_Y,RL,Remarks,Bank
2300,22,793701,2488297,-0.102,Sounding, 
2300,24,793699,2488296,-0.315,Sounding, 
2300,26,793698,2488294,-0.752,Sounding, 
2300,29,793695,2488293,-0.902,Sounding, 
2300,31,793694,2488291,-1.302,Sounding, 
2300,35,793691,2488289,-1.582,Sounding, 
2300,39,793687,2488288,-3.95,Bathy, 
2300,42,793684,2488286,-5.35,Bathy, 
2300,44,793683,2488285,-6.5,Bathy, 
2300,49,793679,2488282,-7.22,Bathy, 
2300,53,793676,2488279,-8.14,Bathy, 
2300,57,793672,2488277,-9.48,Bathy, 
2300,61,793669,2488274,-10.37,Bathy, 
2300,67,793664,2488271,-10.68,Bathy, 
2300,74,793658,2488267,-10.71,Bathy, 
2300,79,793655,2488264,-10.5,Bathy, 
2300,84,793650,2488261,-10.37,Bathy, 
2300,91,793645,2488257,-10.15,Bathy, 
2300,96,793641,2488254,-10,Bathy, 
2300,102,793636,2488250,-9.84,Bathy, 
2300,109,793631,2488246,-9.67,Bathy, 
2300,114,793627,2488243,-9.54,Bathy, 
2300,119,793622,2488240,-9.51,Bathy, 
2300,124,793618,2488237,-9.41,Bathy, 
2300,132,793612,2488232,-9.34,Bathy, 
2300,139,793606,2488228,-9.32,Bathy, 
2300,144,793602,2488225,-9.24,Bathy, 
2300,150,793597,2488222,-9.19,Bathy, 
2300,156,793593,2488218,-9.07,Bathy, 
2300,162,793588,2488215,-8.97,Bathy, 
2300,168,793583,2488211,-8.99,Bathy, 
2300,174,793578,2488207,-8.84,Bathy, 
2300,181,793573,2488203,-8.56,Bathy, 
2300,186,793569,2488200,-8.7,Bathy, 
2300,193,793563,2488196,-8.61,Bathy, 
2300,200,793557,2488192,-8.38,Bathy, 
2300,206,793553,2488188,-7.85,Bathy, 
2300,212,793548,2488185,-8.22,Bathy, 
2300,218,793543,2488181,-8.19,Bathy, 
2300,224,793538,2488178,-7.57,Bathy, 
2300,229,793534,2488175,-7.08,Bathy, 
2300,232,793532,2488173,-8.29,Bathy, 
2300,234,793530,2488172,-7.32,Bathy, 
2300,237,793527,2488170,-8.15,Bathy, 
2300,244,793522,2488166,-7.9,Bathy, 
2300,249,793518,2488163,-7.84,Bathy, 
2300,256,793512,2488159,-7.76,Bathy, 
2300,262,793507,2488155,-7.49,Bathy, 
2300,267,793503,2488152,-7.42,Bathy, 
2300,274,793498,2488148,-7.33,Bathy, 
2300,277,793495,2488146,-6.22,Bathy, 
2300,280,793493,2488144,-7.21,Bathy, 
2300,285,793489,2488141,-7.19,Bathy, 
2300,291,793484,2488138,-7.01,Bathy, 
2300,297,793480,2488134,-6.9,Bathy, 
2300,304,793474,2488130,-6.91,Bathy, 
2300,309,793470,2488127,-6.78,Bathy, 
2300,315,793465,2488123,-6.66,Bathy, 
2300,322,793459,2488119,-6.57,Bathy, 
2300,330,793453,2488115,-6.41,Bathy, 
2300,336,793448,2488111,-6.41,Bathy, 
2300,342,793443,2488107,-6.3,Bathy, 
2300,350,793437,2488103,-6.31,Bathy, 
2300,355,793433,2488100,-6.16,Bathy, 
2300,361,793428,2488096,-6.06,Bathy, 
2300,368,793422,2488092,-5.98,Bathy, 
2300,376,793416,2488087,-5.89,Bathy, 
2300,382,793411,2488084,-5.83,Bathy, 
2300,388,793406,2488080,-5.69,Bathy, 
2300,395,793401,2488076,-5.04,Bathy, 
2300,400,793396,2488073,-5.61,Bathy, 
2300,407,793391,2488069,-5.68,Bathy, 
2300,414,793385,2488065,-5.42,Bathy, 
