,run_line_name,X1,Y1,X2,Y2
106,A_R5_1,715666.110525098,2646681.214559888,715857.3070878354,2647182.784557008
107,A_R5_2,715689.2962517265,2646671.86458231,715880.6631138115,2647173.88132932
108,A_R5_3,715712.481978355,2646662.514604732,715904.0191397878,2647164.978101632
109,A_R5_4,715735.6677049834,2646653.164627154,715927.375165764,2647156.074873944
110,A_R5_5,715758.8534316119,2646643.814649576,715950.7311917403,2647147.171646256
111,A_R5_6,715782.0391582403,2646634.464671998,715974.0872177164,2647138.2684185677
112,A_R5_7,715805.2248848688,2646625.11469442,715997.4432436927,2647129.3651908794
113,A_R5_8,715828.4106114972,2646615.7647168417,716020.7992696689,2647120.4619631916
114,A_R5_9,715851.5963381258,2646606.4147392637,716044.1552956451,2647111.5587355033
115,A_R5_10,715874.7820647542,2646597.064761685,716067.5113216215,2647102.6555078155
116,A_R5_11,715897.9677913827,2646587.714784107,716090.8673475977,2647093.7522801273
117,A_R5_12,715921.1535180111,2646578.364806529,716114.223373574,2647084.8490524394
118,A_R5_13,715944.3392446396,2646569.014828951,716137.5793995502,2647075.945824751
119,A_R5_14,715967.524971268,2646559.664851373,716157.9277976918,2647068.1890932797
120,A_R5_15,715990.7106978965,2646550.314873795,716157.9277976918,2647068.1890932797
121,A_R5_16,716013.896424525,2646540.964896217,716157.9277976918,2647068.1890932797
122,A_R5_17,716037.0821511534,2646531.614918639,716157.9277976918,2647068.1890932797
123,A_R5_18,716060.2678777819,2646522.264941061,716157.9277976918,2647068.1890932797
124,A_R6_1,716366.2706472954,2646521.8812862816,716615.7330499463,2646937.6461565564
125,A_R6_2,716389.3024813427,2646512.158394715,716636.9576360981,2646924.911227188
126,A_R6_3,716412.3343153901,2646502.4355031485,716639.159220878,2646923.59025789
127,A_R6_4,716435.3661494374,2646492.7126115817,716639.159220878,2646923.59025789
128,A_R6_5,716458.3979834847,2646482.9897200153,716639.159220878,2646923.59025789
129,A_R6_6,716481.4298175321,2646473.2668284485,716639.159220878,2646923.59025789
130,A_R7_1,716493.4771797201,2646466.01229239,716804.1832921124,2646717.28323084
131,A_R7_2,716581.311515951,2646418.2092655106,716831.1916114805,2646683.8864123905
132,A_R7_3,716669.145852182,2646370.4062386304,716831.1916114805,2646683.8864123905
133,A_Gap_L_R1_1,715377.1080907714,2647811.0018239114,714801.8603178987,2647714.8020429444
134,A_Gap_L_R2_1,715492.8524473873,2647539.0496364096,714936.199155895,2647288.5177621953
135,A_Gap_L_R2_2,715538.066369707,2647449.8548987373,714977.1968950217,2647197.425455078
136,A_Gap_L_R3_1,716369.8747267979,2647081.7182761147,716246.2042798252,2646604.402979915
137,A_Gap_L_R3_2,716456.0875004873,2647031.0491765295,716246.2042798252,2646604.402979915
138,A_Gap_L_R3_3,716542.3002741769,2646980.3800769444,716309.5451761094,2646568.600083332
139,A_Gap_L_R3_4,716628.5130478663,2646929.710977359,716396.5881732281,2646519.399778206
140,A_Gap_L_R4_1,716627.983759862,2646929.6693779062,716429.97763868,2646501.0411987784
141,A_Gap_L_R4_2,716691.417682385,2646852.3638963844,716487.4347645645,2646470.3601582116
142,A_Gap_L_R4_3,716754.8516049079,2646775.058414862,716568.9153238558,2646426.8510493496
143,A_Gap_L_R4_4,716818.2855274307,2646697.75293334,716650.3958831469,2646383.3419404877
144,A_BDS_R1_1,716704.3870211131,2646355.882727115,716840.558956671,2646645.7960241423
145,A_BDS_R1_2,716794.5856662128,2646312.7062934716,716931.0693841127,2646603.283382538
146,A_BDS_R1_3,716884.7843113126,2646269.5298598283,717021.5798115545,2646560.7707409333
147,A_BDS_R2_1,716893.054428936,2646267.2651291937,717050.313313335,2646551.6469072457
148,A_BDS_R2_2,716986.5909702013,2646231.8968461123,717050.313313335,2646551.6469072457
149,A_BDS_R3_1,717050.313313335,2646551.6469072457,716936.5616126031,2646250.8140784362
150,A_BDS_R3_2,717148.5157767211,2646532.7716275156,717003.3474773096,2646225.5608315575
151,A_BDS_R4_1,717198.964038801,2646523.406942259,717015.2415266256,2646220.7783496403
152,A_BDS_R4_2,717292.0527725337,2646486.8763023517,717099.4660594382,2646169.6465559746
153,A_BDS_R4_3,717385.1415062664,2646450.3456624444,717183.6905922507,2646118.514762309
154,A_BDS_R4_4,717478.2302399991,2646413.815022537,717267.9151250633,2646067.382968643
155,A_BDS_R4_5,717571.3189737318,2646377.284382629,717352.139657876,2646016.2511749775
156,A_BDS_R4_6,717664.4077074644,2646340.753742722,717436.3641906885,2645965.119381312
157,A_BDS_R4_7,717757.4964411971,2646304.2231028145,717520.5887235011,2645913.987587646
158,A_BDS_R4_8,717850.5851749298,2646267.692462907,717604.8132563136,2645862.8557939804
159,A_BDS_R4_9,717943.6739086625,2646231.161823,717689.0377891262,2645811.7240003147
160,A_BDS_R5_1,717013.9697582556,2646221.550426323,717198.964038801,2646523.406942259
161,A_BDS_R5_2,717099.4505491889,2646169.6559720775,717233.026738447,2646510.0397799276
162,A_BDS_R5_3,717184.9313401221,2646117.761517832,717324.7474048466,2646474.0460081575
163,A_BDS_R5_4,717270.4121310554,2646065.8670635866,717416.468071246,2646438.052236388
164,A_BDS_R5_5,717355.8929219886,2646013.972609341,717508.1887376455,2646402.0584646184
165,A_BDS_R5_6,717441.3737129219,2645962.078155096,717599.9094040449,2646366.064692849
166,A_BDS_R5_7,717526.8545038551,2645910.1837008507,717691.6300704444,2646330.070921079
167,A_BDS_R5_8,717612.3352947882,2645858.2892466052,717783.3507368438,2646294.077149309
168,A_BDS_R5_9,717697.8160857215,2645806.39479236,717875.0714032432,2646258.0833775396
